VNUM	NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
1136	천의설거인	KNIGHT	MONSTER	MELEE	84		AGGR	0	ICE	STUN,SLOW	0	ice_snow_giant_man	0	109	82	55	21	182	338	8207	7	5	902	1352	4770	75	80	100	100	2000	150	30090	0	0	20	0	0	0	2	15	10	15	15	15	0	-30	0	0	0	1	2.016	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1137	천의얼음고렘	S_KNIGHT	MONSTER	MELEE	85		AGGR	0	ICE	STUN,SLOW	0	ice_snow_golem	0	129	126	55	21	182	338	12823	7	10	1148	1723	9540	75	70	100	100	2000	150	30050	0	0	20	0	0	0	2	40	35	40	40	40	0	-30	0	0	0	1	2.24	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1151	빙마	S_PAWN	MONSTER	MAGIC	62			0	ICE		0	ice_snow_monster	0	60	80	40	20	96	178	9204	7	5	1000	2000	2000	70	90	100	100	2000	850	30048	0	0	10	0	0	0	2	15	15	15	15	15	0	-30	0	0	0	1	1.5	0	0	16764879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1152	얼음뿔범고래	S_PAWN	MONSTER	MELEE	63			0	ICE		0	ice_snow_whale	0	61	81	40	20	125	153	9461	7	5	1000	2000	2000	71	100	100	100	2000	150	30049	0	0	10	0	0	0	2	15	15	15	15	15	0	-30	0	0	0	1	1.5	0	0	16764879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1153	빙충	S_PAWN	MONSTER	MELEE	64			0	ICE		0	ice_snow_insect	0	61	81	41	20	98	183	9723	7	5	1000	2000	2000	72	110	100	100	2000	150	30088	0	0	15	0	0	0	2	15	15	15	15	15	0	-30	0	0	0	1	1.5	0	0	16764879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1154	설구	KNIGHT	MONSTER	MELEE	64			0	ICE	STUN,SLOW	0	ice_snow_dog	0	62	82	41	20	98	183	12964	12	10	1000	2000	2000	72	110	100	100	2000	150	30014	0	0	15	0	0	0	2	15	15	15	15	15	0	-30	0	0	0	1	2	0	0	16764879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1155	빙인	KNIGHT	MONSTER	MELEE	65			0	ICE	STUN,SLOW	0	ice_snow_man	0	83	41	62	21	128	157	13321	12	10	1000	2000	2000	73	90	100	100	2000	150	30089	0	0	20	0	0	0	2	15	15	15	15	15	0	-30	0	0	0	1	2	0	0	16764879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1156	설거인	KNIGHT	MONSTER	MELEE	66			0	ICE	STUN,SLOW	0	ice_snow_giant_man	0	84	63	42	21	101	188	13678	7	5	1000	2000	2000	75	80	100	100	2000	150	30090	0	0	20	0	0	0	2	15	15	15	15	15	0	-30	0	0	0	1	2	0	0	16764879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1157	얼음고렘	S_KNIGHT	MONSTER	MELEE	66			0	ICE	STUN,SLOW	0	ice_snow_golem	0	99	97	42	21	101	188	21372	7	10	1000	2000	2000	75	70	100	100	2000	150	30050	0	0	20	0	0	0	2	40	40	40	40	40	0	-30	0	0	0	1	2.5	0	0	16764879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1171	사나운 빙마	S_PAWN	MONSTER	MAGIC	62			0	ICE		0	ice_snow_monster	0	60	80	40	20	115	214	2455	7	5	290	435	1046	70	90	100	100	2000	850	30048	0	0	10	0	0	0	2	15	10	15	15	15	0	-30	0	0	0	1	1.274	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	사나운 얼음뿔범고래	S_PAWN	MONSTER	MELEE	63			0	ICE		0	ice_snow_whale	0	61	81	40	20	150	184	2523	7	5	294	442	1063	71	100	100	100	2000	150	30049	0	0	10	0	0	0	2	15	10	15	15	15	0	-30	0	0	0	1	1.274	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1173	사나운 빙충	S_PAWN	MONSTER	MELEE	64			0	ICE		0	ice_snow_insect	0	61	81	41	20	118	220	2593	7	5	326	489	1079	72	110	100	100	2000	150	30088	0	0	15	0	0	0	2	15	10	15	15	15	0	-30	0	0	0	1	1.274	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1174	사나운 설구	KNIGHT	MONSTER	MELEE	64			0	ICE	STUN,SLOW	0	ice_snow_dog	0	62	82	41	20	118	220	3457	12	10	486	730	1799	72	110	100	100	2000	150	30014	0	0	15	0	0	0	2	15	10	15	15	15	0	-30	0	0	0	1	1.26	0	0	16764108	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1175	사나운 빙인	KNIGHT	MONSTER	MELEE	65			0	ICE	STUN,SLOW	0	ice_snow_man	0	83	41	62	21	154	188	3552	12	10	494	741	1827	73	90	100	100	2000	150	30089	0	0	20	0	0	0	2	15	10	15	15	15	0	-30	0	0	0	1	1.26	0	0	16764108	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1176	사나운 설거인	KNIGHT	MONSTER	MELEE	66			0	ICE	STUN,SLOW	0	ice_snow_giant_man	0	84	63	42	21	121	226	3647	7	5	501	751	1855	75	80	100	100	2000	150	30090	0	0	20	0	0	0	2	15	10	15	15	15	0	-30	0	0	0	1	1.26	0	0	16764108	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1177	사나운 얼음고렘	S_KNIGHT	MONSTER	MELEE	66			0	ICE	STUN,SLOW	0	ice_snow_golem	0	99	97	42	21	121	226	5699	7	10	638	957	3710	75	70	100	100	2000	150	30050	0	0	20	0	0	0	2	40	35	40	40	40	0	-30	0	0	0	1	1.4	0	0	16764108	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1191	설마녀	BOSS	MONSTER	MAGIC	70			0	ICE	STUN,SLOW,CURSE,TERROR	0	ice_snow_witch	0	65	43	86	22	104	193	94896	20	20	59920	89880	22480	79	110	120	100	2000	850	0	0	0	50	0	0	0	2	40	35	40	40	40	40	0	0	60	0	0	1.4	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1192	설마녀	BOSS	MONSTER	MAGIC	70			0	ICE	STUN,SLOW,CURSE,TERROR	0	ice_snow_witch	0	65	43	86	22	104	193	94896	20	20	59920	89880	22480	79	110	120	100	2000	850	0	0	0	50	0	0	0	2	40	35	40	40	40	40	0	0	60	0	0	1.4	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1301	청와병	S_PAWN	MONSTER	MELEE	57			0			0	greenfrog_soldier	0	80	60	40	18	89	166	2660	7	5	292	439	550	65	110	110	0	2000	150	30060	0	0	0	0	0	5	5	0	-5	0	0	0	0	0	0	0	0	0	1.274	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1302	청와장	S_KNIGHT	MONSTER	MELEE	59			0			0	greenfrog_general	0	75	58	40	19	92	170	5874	12	10	528	793	1896	67	110	100	0	2000	150	30061	0	0	0	0	0	10	5	0	-5	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1303	풀잎머리도깨비	S_PAWN	MONSTER	MELEE	58			0			0	goblin_leafhead	0	96	60	50	19	116	142	2739	7	5	297	446	559	66	80	100	0	2000	150	30040	0	0	0	0	0	0	5	0	-5	0	0	0	0	0	0	0	0	0	1.274	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1304	누렁범귀	BOSS	MONSTER	MELEE	75		AGGR	0		STUN,SLOW,CURSE,TERROR	0	yellow_tigerman	0	99	80	56	24	113	210	284864	10	10	36640	54960	24080	84	100	100	0	2000	150	0	0	0	0	0	0	10	10	40	35	40	40	40	40	0	0	60	0	0	2.24	1305	0	0	0	40	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1305	수구대장군	S_KNIGHT	MONSTER	MELEE	61			0			0	sugu_general	0	93	52	35	19	94	175	6216	7	10	546	819	1960	69	80	100	0	2000	150	0	0	0	0	0	0	5	5	0	-5	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1306	진누렁범귀	BOSS	MONSTER	MELEE	75		AGGR	0		STUN,SLOW,CURSE,TERROR	0	yellow_tigerman	0	99	80	56	24	113	210	284864	10	10	36640	54960	24080	84	100	100	0	2000	150	0	0	0	0	0	0	10	10	40	35	40	40	40	40	0	0	60	0	0	2.24	1305	0	0	0	40	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1307	누렁투범귀	KING	MONSTER	MELEE	97		AGGR,BERSERK,STONESKIN,DEATHBLOW,REVIVE	0		STUN,SLOW,CURSE,TERROR	0	yellow_tigerman	0	122	91	61	30	150	278	2568600	30	20	23400	35100	356400	90	150	160	100	2000	350	0	0	0	0	0	0	15	20	30	25	30	30	30	50	100	50	50	50	20	2.28	2414	10	0	0	40	258	0	0	0	0	0	0	0	0	20	20	0	30	40
1308	진누렁범귀	BOSS	MONSTER	MELEE	40	SMALL	AGGR	0	ATT_ELEC	STUN,SLOW,CURSE,TERROR	0	yellow_tigerman	0	48	32	63	16	79	146	143232	10	10	0	0	24080	57	100	100	0	2000	150	0	0	0	0	0	0	15	20	50	30	25	30	30	30	0	-30	50	0	20	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1309	진누렁범귀	BOSS	MONSTER	MELEE	65	SMALL	AGGR	0	ATT_ELEC	STUN,SLOW,CURSE,TERROR	0	yellow_tigerman	0	77	38	57	19	93	173	255680	10	10	0	0	24080	84	100	100	0	2000	150	0	0	0	0	0	0	15	20	50	30	25	30	30	30	0	-30	50	0	20	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1310	진누렁범귀	BOSS	MONSTER	MELEE	95	SMALL	AGGR	0	ATT_ELEC	STUN,SLOW,CURSE,TERROR	0	yellow_tigerman	0	122	91	61	30	150	208	284864	10	10	0	0	24080	90	100	100	0	2000	150	0	0	0	0	0	0	15	20	50	30	25	30	30	30	0	-30	50	0	20	2.0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1331	혀짧은 청와병	S_PAWN	MONSTER	MELEE	57			0			0	greenfrog_soldier	0	80	60	40	18	107	199	2128	7	5	292	439	385	65	110	110	0	2000	150	30060	0	0	0	0	0	5	5	0	-5	0	0	0	0	0	0	0	0	0	1.274	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1332	혀짧은 청와장	S_KNIGHT	MONSTER	MELEE	59			0			0	greenfrog_general	0	75	58	40	19	110	204	4699	12	10	528	793	1327	67	110	100	0	2000	150	30061	0	0	0	0	0	10	5	0	-5	0	0	0	0	0	0	0	0	0	1.4	0	0	16764108	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1333	혀짧은 풀잎머리도깨비	S_PAWN	MONSTER	MELEE	58			0			0	goblin_leafhead	0	96	60	50	19	139	170	2191	7	5	297	446	391	66	80	100	0	2000	150	30040	0	0	0	0	0	0	5	0	-5	0	0	0	0	0	0	0	0	0	1.274	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1334	다혈질 누렁범귀	BOSS	MONSTER	MELEE	75		AGGR	0		STUN,SLOW,CURSE,TERROR	0	yellow_tigerman	0	99	80	56	24	136	252	227891	10	10	36640	54960	16856	84	100	100	0	2000	150	0	0	0	0	0	0	10	10	40	35	40	40	40	40	0	0	60	0	0	2.24	1305	0	16764108	0	40	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1335	혀짧은 수구대장군	S_KNIGHT	MONSTER	MELEE	61			0			0	sugu_general	0	93	52	35	19	113	210	4973	7	10	546	819	1372	69	80	100	0	2000	150	0	0	0	0	0	0	5	5	0	-5	0	0	0	0	0	0	0	0	0	1.4	0	0	16764108	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1401	투귀병	S_PAWN	MONSTER	MELEE	66			0		POISON	0	mutant_1	0	84	42	63	21	137	167	72346	6	10	700	1050	4301	81	155	130	100	2000	250	0	0	0	0	0	0	15	20	-5	-15	-5	5	5	5	0	0	15	0	0	3.08	0	5	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1402	투귀척후병	KNIGHT	MONSTER	MELEE	73		AGGR	0		SLOW,CURSE	0	mutant_2	0	91	46	66	23	116	216	108134	10	7	1062	1593	8022	83	155	130	100	2000	250	0	0	0	0	0	0	15	20	10	0	10	15	15	0	0	0	20	0	0	3.96	0	10	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1403	투귀천장수	S_KNIGHT	MONSTER	MELEE	77		AGGR	0		STUN,SLOW,CURSE,TERROR	0	mutant_3	0	94	55	65	10	122	226	178080	14	10	1426	2139	17304	90	155	130	100	2000	250	0	0	0	0	0	0	15	20	10	10	10	20	20	0	0	0	25	0	0	4.4	0	15	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1501	석인	S_PAWN	MONSTER	MELEE	69			0			0	golem_1	0	84	42	63	21	142	174	73997	6	5	730	1095	4654	78	135	110	100	2000	300	0	0	0	0	0	0	15	20	15	10	15	15	15	20	0	0	15	0	0	3.08	0	5	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1502	투석인	S_PAWN	MONSTER	MELEE	72		AGGR	0			0	golem_2	0	85	43	64	21	115	213	79738	6	5	1048	1572	4855	83	135	110	100	2000	300	0	0	0	0	0	0	15	20	15	10	15	15	15	20	0	0	20	0	0	3.08	0	5	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1503	거대투석인	KNIGHT	MONSTER	MELEE	76		AGGR	0			0	golem_3	0	92	42	65	10	120	224	111053	10	5	1408	2112	8540	87	135	110	100	2000	300	0	0	0	0	0	0	15	20	15	10	15	15	15	20	0	0	25	0	0	3.96	0	10	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1601	투귀일꾼	PAWN	MONSTER	MELEE	68			0		POISON	0	nersluck_1	0	85	43	65	22	140	172	63024	6	10	720	1080	3745	79	145	120	100	2000	300	0	0	0	0	0	0	15	20	-5	-15	-5	5	5	5	0	0	15	0	0	2.2	0	5	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1602	투귀감찰병	KNIGHT	MONSTER	MELEE	70		AGGR	0		SLOW,CURSE	0	nersluck_2	0	85	43	65	22	112	208	101222	10	7	1020	1530	7868	85	145	120	100	2000	300	0	0	0	0	0	0	15	20	10	0	10	15	15	0	0	0	20	0	0	3.96	0	10	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1603	투귀백장수	KNIGHT	MONSTER	MELEE	75		AGGR	0		STUN,SLOW,CURSE,TERROR	0	nersluck_3	0	85	43	65	22	119	221	111053	10	10	1390	2085	8232	88	145	120	100	2000	300	0	0	0	0	0	0	15	20	10	10	10	15	15	-5	0	0	25	0	0	3.96	0	15	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1901	구미호	BOSS	MONSTER	MELEE	72		AGGR	0		STUN,SLOW,CURSE,TERROR	0	fox_ninetail	0	91	68	46	23	109	203	265792	10	10	35200	52800	23120	81	110	100	0	2000	150	0	0	0	0	0	0	10	10	40	35	40	40	40	40	0	0	60	0	0	2.24	1107	0	0	0	35	258	40	259	0	0	0	0	0	0	0	0	0	0	0
1902	진구미호	BOSS	MONSTER	MELEE	72		AGGR	0		STUN,SLOW,CURSE,TERROR	0	fox_ninetail	0	91	68	46	23	109	203	265792	10	10	35200	52800	23120	81	110	100	0	2000	150	0	0	0	0	0	0	10	10	40	35	40	40	40	40	0	0	60	0	0	2.24	1107	0	0	0	35	258	40	259	0	0	0	0	0	0	0	0	0	0	0
1903	진구미호	KING	MONSTER	MELEE	97		AGGR,BERSERK,STONESKIN,DEATHBLOW,REVIVE	0		STUN,SLOW,CURSE,TERROR	0	fox_ninetail	0	122	91	61	30	150	278	2568600	30	20	23400	35100	356400	90	150	160	100	2000	350	0	0	0	0	0	0	15	20	30	25	30	30	30	50	100	50	50	50	20	2.28	2414	10	0	0	35	258	40	259	0	0	0	0	0	0	20	20	0	30	40
1904	진구미호	BOSS	MONSTER	MELEE	40	SMALL	AGGR	0	ATT_ICE	STUN,SLOW,CURSE,TERROR	0	fox_ninetail	0	48	32	63	16	79	146	143232	10	10	0	0	24080	57	100	100	0	2000	150	0	0	0	0	0	0	15	20	50	30	25	30	30	30	0	0	50	0	20	2.0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1905	진구미호	BOSS	MONSTER	MELEE	65	SMALL	AGGR	0	ATT_ICE	STUN,SLOW,CURSE,TERROR	0	fox_ninetail	0	77	38	57	19	93	173	255680	10	10	0	0	24080	84	100	100	0	2000	150	0	0	0	0	0	0	15	20	50	30	25	30	30	30	0	0	50	0	20	2.0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1906	진구미호	BOSS	MONSTER	MELEE	95	SMALL	AGGR	0	ATT_ICE	STUN,SLOW,CURSE,TERROR	0	fox_ninetail	0	122	91	61	30	150	208	284864	10	10	0	0	24080	90	100	100	0	2000	150	0	0	0	0	0	0	15	20	50	30	25	30	30	30	0	0	50	0	20	2.0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	새끼거미	PAWN	MONSTER	MELEE	43			0	INSECT		0	spider_young	0	28	41	55	14	89	109	1418	7	10	125	187	1038	50	110	100	50	2000	150	30057	0	0	0	0	0	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.91	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	독거미	PAWN	MONSTER	MELEE	45			0	INSECT		0	spider_poison	0	47	57	29	14	82	123	1518	3	5	130	195	1086	52	100	100	50	2000	150	30056	0	0	0	3	0	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.91	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	붉은독거미	S_PAWN	MONSTER	MELEE	48			0	INSECT		0	spider_redpoison	0	54	60	15	15	86	129	2014	12	15	208	312	1390	55	120	100	50	2000	150	30025	0	0	0	3	1	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.98	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	집게거미	S_PAWN	MONSTER	MELEE	50			0	INSECT		0	spider_nipper	0	56	31	56	16	100	122	2148	3	5	216	324	1447	57	100	100	50	2000	150	30058	0	0	0	0	0	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.98	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	병정거미	S_PAWN	MONSTER	MELEE	52			0	INSECT		0	spider_soldier	0	71	33	39	16	104	127	2288	3	5	224	336	1505	59	90	120	50	2000	150	30059	0	0	0	0	0	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.98	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2031	새끼독거미	KNIGHT	MONSTER	MELEE	50			0	INSECT		0	spider_young	0	49	65	33	16	96	117	2514	12	10	355	532	1480	53	110	120	100	2000	150	0	0	0	0	5	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.26	0	0	13421823	70106	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2032	맹독거미	KNIGHT	MONSTER	MELEE	52			0	INSECT		0	spider_poison	0	68	34	51	17	88	132	2685	12	10	368	552	1544	55	110	120	100	2000	150	0	0	0	0	5	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.26	0	0	13421823	70106	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2033	붉은맹독거미	S_KNIGHT	MONSTER	MELEE	54			0	INSECT		0	spider_redpoison	0	53	35	70	18	91	137	4476	7	10	465	698	3216	57	110	120	100	2000	150	0	0	0	0	5	1	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.4	0	0	13421823	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2034	집게독거미	S_KNIGHT	MONSTER	MELEE	56			0	INSECT		0	spider_nipper	0	72	36	54	18	106	130	4766	12	15	482	723	3344	59	110	120	100	2000	150	0	0	0	0	3	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.4	0	0	13421823	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2035	병정독거미	S_KNIGHT	MONSTER	MELEE	58			0	INSECT		0	spider_soldier	0	56	75	37	19	109	134	5068	7	10	498	747	3472	62	110	120	100	2000	150	0	0	0	0	3	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.4	0	0	13421823	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2036	진병정독거미	S_KNIGHT	MONSTER	MELEE	58		AGGR	0	INSECT		0	spider_soldier	0	56	75	37	19	109	134	5068	20	25	498	747	3472	62	110	120	100	2000	150	0	0	0	0	3	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.4	0	0	13421823	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2051	사나운 새끼거미	PAWN	MONSTER	MELEE	43			0	INSECT		0	spider_young	0	28	41	55	14	107	131	1134	7	10	125	187	727	50	110	100	50	2000	150	30057	0	0	0	0	0	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.91	0	0	13421823	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2052	사나운 독거미	PAWN	MONSTER	MELEE	45			0	INSECT		0	spider_poison	0	47	57	29	14	98	148	1215	3	5	130	195	760	52	100	100	50	2000	150	30056	0	0	0	3	0	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.91	0	0	13421823	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2053	사나운 붉은독거미	S_PAWN	MONSTER	MELEE	48			0	INSECT		0	spider_redpoison	0	54	60	15	15	103	155	1611	12	15	208	312	973	55	120	100	50	2000	150	30025	0	0	0	3	1	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.98	0	0	13421823	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2054	사나운 집게거미	S_PAWN	MONSTER	MELEE	50			0	INSECT		0	spider_nipper	0	56	31	56	16	120	146	1719	3	5	216	324	1013	57	100	100	50	2000	150	30058	0	0	0	0	0	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.98	0	0	13421823	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2055	사나운 병정거미	S_PAWN	MONSTER	MELEE	52			0	INSECT		0	spider_soldier	0	71	33	39	16	125	152	1830	3	5	224	336	1053	59	90	120	50	2000	150	30059	0	0	0	0	0	0	0	0	-5	0	0	0	0	-30	-30	0	0	5	0.98	0	0	13421823	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061	새끼독거미	PAWN	MONSTER	MELEE	60			0	INSECT		0	spider_young	0	77	58	39	20	144	176	3771	12	10	533	798	2960	80	110	120	100	2000	150	0	0	0	0	5	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2062	맹독거미	S_PAWN	MONSTER	MELEE	62			0	INSECT		0	spider_poison	0	80	60	40	20	132	198	4028	7	10	552	828	3088	83	110	120	100	2000	150	0	0	0	0	5	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.9	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2063	붉은맹독거미	KNIGHT	MONSTER	MELEE	64			0	INSECT		0	spider_redpoison	0	82	62	41	21	137	206	6714	12	15	698	1047	6432	86	110	120	100	2000	150	0	0	0	0	5	1	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	2.1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2064	집게독거미	KNIGHT	MONSTER	MELEE	66			0	INSECT		0	spider_nipper	0	84	63	42	21	159	195	7149	7	10	723	1085	6688	89	110	120	100	2000	150	0	0	0	0	3	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	2.1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2065	병정독거미	S_KNIGHT	MONSTER	MELEE	68			0	INSECT		0	spider_soldier	0	87	65	43	22	164	201	7602	20	25	747	1121	6944	93	110	120	100	2000	150	0	0	0	0	3	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	2.1	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2071	사나운 새끼독거미	KNIGHT	MONSTER	MELEE	50			0	INSECT		0	spider_young	0	49	65	33	16	96	117	2514	12	10	355	532	1036	53	110	120	100	2000	150	0	0	0	0	5	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.26	0	0	16764108	70106	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2072	사나운 맹독거미	KNIGHT	MONSTER	MELEE	52			0	INSECT		0	spider_poison	0	68	34	51	17	88	132	2685	12	10	368	552	1081	55	110	120	100	2000	150	0	0	0	0	5	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.26	0	0	16764108	70106	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2073	사나운 붉은맹독거미	S_KNIGHT	MONSTER	MELEE	54			0	INSECT		0	spider_redpoison	0	53	35	70	18	91	137	4476	7	10	465	698	2251	57	110	120	100	2000	150	0	0	0	0	5	1	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.4	0	0	16764108	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2074	사나운 집게독거미	S_KNIGHT	MONSTER	MELEE	56			0	INSECT		0	spider_nipper	0	72	36	54	18	106	130	4766	12	15	482	723	2341	59	110	120	100	2000	150	0	0	0	0	3	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.4	0	0	16764108	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2075	사나운 병정독거미	S_KNIGHT	MONSTER	MELEE	58			0	INSECT		0	spider_soldier	0	56	75	37	19	109	134	5068	7	10	498	747	2430	62	110	120	100	2000	150	0	0	0	0	3	0	5	0	0	-5	0	0	0	0	-20	-20	0	0	10	1.4	0	0	16764108	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
